id,nome,livello,lv_premium,exp_required,special_attack_name,special_attack_damage,special_attack_mana_cost,price,description,character_group,max_concurrent_owners,is_pokemon
269,Akka,89,2,315000,Mother Earth,1825,746,5850,La madre terra finlandese,Mitologia,1,0
270,Louhi,89,2,315000,Witch Queen,1822,745,5800,La regina strega,Mitologia,1,0
271,Chaos Primordial,90,1,320000,Primordial Void,1900,776,0,Il caos primordiale (Premium),Mitologia,1,0
272,Gaia Primordial,90,2,320000,Earth Mother,1895,774,5900,La madre terra primordiale,Mitologia,1,0
273,Ouranos,90,2,320000,Sky Father,1892,773,5850,Il padre del cielo primordiale,Mitologia,1,0
274,Nyx,91,2,325000,Night,1910,780,5950,La dea della notte,Mitologia,1,0
275,Erebus,91,2,325000,Darkness,1908,779,5900,Il dio dell'oscurità,Mitologia,1,0
276,Aether,91,1,325000,Light,1920,784,0,Il dio della luce (Premium),Mitologia,1,0
277,Chronos,92,1,330000,Time,1950,796,0,Il dio del tempo (Premium),Mitologia,1,0
278,Ananke,92,2,330000,Necessity,1945,794,6000,La dea della necessità,Mitologia,1,0
279,Hemera,92,2,330000,Day,1942,793,5950,La dea del giorno,Mitologia,1,0
280,Tartarus,93,2,335000,Abyss,1960,800,6050,L'abisso,Mitologia,1,0
281,Pontus,93,2,335000,Sea,1958,799,6000,Il mare primordiale,Mitologia,1,0
282,Eros Primordial,93,1,335000,Love,1970,804,0,L'amore primordiale (Premium),Mitologia,1,0
283,Phanes,94,1,340000,First Born,2000,816,0,Il primogenito (Premium),Mitologia,1,0
284,Thesis,94,2,340000,Creation,1995,814,6100,La creazione,Mitologia,1,0
285,Hydros,94,2,340000,Water,1992,813,6050,L'acqua primordiale,Mitologia,1,0
286,Monad,95,1,345000,The One,2050,836,0,L'Uno (Premium),Mitologia,1,0
287,Dyad,95,2,345000,The Two,2045,834,6150,I Due,Mitologia,1,0
288,Triad,95,2,345000,The Three,2042,833,6100,I Tre,Mitologia,1,0
289,Absolute,96,1,350000,Pure Being,2100,856,0,L'Essere Puro (Premium),Mitologia,1,0
290,Infinite,96,2,350000,Boundless,2095,854,6200,L'Infinito,Mitologia,1,0
291,Eternal,96,2,350000,Timeless,2092,853,6150,L'Eterno,Mitologia,1,0
292,Omnipotent,97,1,355000,All Powerful,2150,876,0,L'Onnipotente (Premium),Mitologia,1,0
293,Omniscient,97,2,355000,All Knowing,2145,874,6250,L'Onnisciente,Mitologia,1,0
294,Omnipresent,97,2,355000,Everywhere,2142,873,6200,L'Onnipresente,Mitologia,1,0
295,Alpha,98,1,360000,The Beginning,2200,896,0,L'Inizio (Premium),Mitologia,1,0
296,Omega,98,2,360000,The End,2195,894,6300,La Fine,Mitologia,1,0
297,Logos,98,2,360000,The Word,2192,893,6250,Il Verbo,Mitologia,1,0
298,Demiurge,99,2,365000,Creator,2210,900,6350,Il Creatore,Mitologia,1,0
299,Pleroma,99,2,365000,Fullness,2208,899,6300,La Pienezza,Mitologia,1,0
300,Sophia,99,1,365000,Wisdom,2220,904,0,La Saggezza (Premium),Mitologia,1,0
301,The One Above All,100,1,370000,Supreme Being,2300,940,0,L'Essere Supremo (Premium),Mitologia,1,0
302,Azathoth,100,2,370000,Blind Idiot God,2295,938,6400,Il dio cieco idiota,Mitologia,1,0
303,Yog-Sothoth,100,2,370000,The Gate,2292,937,6350,Il Cancello,Mitologia,1,0
